Date,Description,Money In,Money Out,Balance
01/05/2025,SALARY FROM ABC LTD,2000.0,,£2000.00
02/05/2025,TESCO STORES,,45.6,£1954.40
03/05/2025,GYM MEMBERSHIP,,35.0,£1919.40
04/05/2025,AMAZON UK,,29.99,£1889.41
05/05/2025,TFL TRAVEL,,3.2,£1886.21
06/05/2025,COFFEE SHOP,,2.5,£1883.71
07/05/2025,RESTAURANT BILL,,32.0,£1851.71
08/05/2025,UBER TRIP,,15.8,£1835.91
09/05/2025,HMRC TAX REFUND,120.0,,£1955.91
10/05/2025,TRANSFER TO SAVINGS,,300.0,£1655.91
11/05/2025,DIRECT DEBIT TV LICENCE,,13.25,£1642.66
12/05/2025,HMRC VAT PAYMENT,,250.0,£1392.66
13/05/2025,INSURANCE PAYMENT,,75.0,£1317.66
14/05/2025,NETFLIX SUBSCRIPTION,,10.99,£1306.67
15/05/2025,PAYMENT FROM JOHN DOE,150.0,,£1456.67
16/05/2025,ELECTRICITY BILL,,60.0,£1396.67
17/05/2025,ASDA SUPERMARKET,,54.3,£1342.37
18/05/2025,PHONE BILL,,40.0,£1302.37
19/05/2025,INTEREST CREDIT,0.84,,£1303.21
20/05/2025,CASH WITHDRAWAL,,100.0,£1203.21
